Year,Traditional Whaling,Commercial Whaling,"""Scientific Whaling"""
2005/2006,370.2644248,1011.635614,2295.065137
2006/2007,356.2728879,903.9085279,1836.919071
2007/2008,355.607648,957.9556204,1915.443342
2008/2009,335.5912279,910.3982678,1910.548352
2009/2010,323.0344189,1009.914914,1827.760462
2010/2011,393.2200695,1062.396665,1508.887037
2011/2012,379.0281494,953.4867496,1491.597695
2012/2013,360.5819389,872.3842685,1294.220201
2013/2014,375.4910201,1131.191396,1601.640952
2014/2015,347.8803185,1234.52222,1431.461224
2015/2016,323.8298673,1153.706116,1664.240028
2016/2017,342.5012047,972.925141,1454.291933